model,split,n_train_records,n_features_after_preprocessing,aspect_ratio_p_over_n,mp_lower,mp_upper,model_input_variance,signal_components,bulk_components,signal_variance_fraction,coefficient_signal_weight_fraction,original_roc_auc,signal_subspace_roc_auc,bulk_subspace_roc_auc,signal_score_correlation,bulk_score_correlation
logistic_regression,validation,17084,594,0.03476937485366425,0.5768318637177,1.2268952448658443,0.8715599593574294,60,534,0.8606317801290767,0.057508576340342336,0.9071345093637216,0.8704255946460541,0.6344862741197533,0.9052239221223138,0.2299671204816225
logistic_regression,test,17084,594,0.03476937485366425,0.5768318637177,1.2268952448658443,0.8715599593574294,60,534,0.8606317801290767,0.057508576340342336,0.8923599377657627,0.8592469586888569,0.6414491284390753,0.8893880148511738,0.29264471981493506
sgd_linear,validation,17084,594,0.03476937485366425,0.5768318637177,1.2268952448658443,0.8715599593574294,60,534,0.8606317801290767,0.11462484097806383,0.7408334280599052,0.702293330302083,0.4931583733553099,0.7279279295231161,0.06734809930313708
sgd_linear,test,17084,594,0.03476937485366425,0.5768318637177,1.2268952448658443,0.8715599593574294,60,534,0.8606317801290767,0.11462484097806383,0.730724282616654,0.7012659809636451,0.5091182133705049,0.7297577385850786,0.09686393476347384
random_forest,validation,17084,594,0.03476937485366425,0.5768318637177,1.2268952448658443,0.8715599593574294,60,534,0.8606317801290767,,0.9107178379607263,0.8873147503481202,0.6119748003637501,0.9330891847704343,0.20940395523675076
random_forest,test,17084,594,0.03476937485366425,0.5768318637177,1.2268952448658443,0.8715599593574294,60,534,0.8606317801290767,,0.9000626566416039,0.8756776069386951,0.6070627763228296,0.9336534420520561,0.2284364888069679
extra_trees,validation,17084,594,0.03476937485366425,0.5768318637177,1.2268952448658443,0.8715599593574294,60,534,0.8606317801290767,,0.906277529909915,0.895785970047458,0.7318702222285373,0.9679791089549665,0.5271724129655442
extra_trees,test,17084,594,0.03476937485366425,0.5768318637177,1.2268952448658443,0.8715599593574294,60,534,0.8606317801290767,,0.8909158429782321,0.8806100574469884,0.7142883543127482,0.9685403814043084,0.5445561135596011
hist_gradient_boosting,validation,17084,594,0.03476937485366425,0.5768318637177,1.2268952448658443,0.8715599593574294,60,534,0.8606317801290767,,0.9208177626531018,0.8979128776037968,0.6367836895052431,0.91642212813627,0.2633311113686273
hist_gradient_boosting,test,17084,594,0.03476937485366425,0.5768318637177,1.2268952448658443,0.8715599593574294,60,534,0.8606317801290767,,0.9089199473402607,0.8916726507279433,0.6200499493114809,0.9136237311007334,0.2654120234487774
xgboost,validation,17084,594,0.03476937485366425,0.5768318637177,1.2268952448658443,0.8715599593574294,60,534,0.8606317801290767,,0.9227861512120265,0.8961167729972435,0.6239449828071273,0.8705913169217925,0.187554112395543
xgboost,test,17084,594,0.03476937485366425,0.5768318637177,1.2268952448658443,0.8715599593574294,60,534,0.8606317801290767,,0.9097198755315254,0.8873544465095324,0.5979106826053899,0.8585372413857224,0.1611179081096943
