model,split,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,n_records
logistic_regression,validation,0.8122087604846225,0.8226070291852567,0.904390243902439,0.752435064935065,0.821444395214887,0.9071345093637216,2146
logistic_regression,test,0.793790546802595,0.8043810368618175,0.8877057115198451,0.7359550561797753,0.8047389205792014,0.8923599377657627,2158
sgd_linear,validation,0.7385834109972041,0.7408334280599052,0.8003581020590869,0.7256493506493507,0.7611749680715197,0.7408334280599052,2146
sgd_linear,test,0.727062094531974,0.730724282616654,0.7972850678733032,0.7070626003210273,0.7494683113568694,0.730724282616654,2158
random_forest,validation,0.831780055917987,0.8328747975219528,0.8744625967325881,0.825487012987013,0.8492693110647181,0.9107178379607263,2146
random_forest,test,0.8100092678405931,0.8115187899524091,0.8597246127366609,0.8017656500802568,0.829734219269103,0.9000626566416039,2158
extra_trees,validation,0.8173345759552656,0.8226940592230527,0.8825136612021858,0.786525974025974,0.8317596566523605,0.906277529909915,2146
extra_trees,test,0.8021316033364226,0.8071953056799301,0.8685868586858686,0.7744783306581059,0.8188375053033518,0.8909158429782321,2158
hist_gradient_boosting,validation,0.8415657036346692,0.8437979553269488,0.8878260869565218,0.8287337662337663,0.8572628043660789,0.9208177626531018,2146
hist_gradient_boosting,test,0.8202038924930491,0.8231393089465235,0.8743455497382199,0.8041733547351525,0.8377926421404682,0.9089199473402607,2158
xgboost,validation,0.8471575023299162,0.8492328923811419,0.891681109185442,0.8352272727272727,0.8625314333612741,0.9227861512120265,2146
xgboost,test,0.8151065801668211,0.818284299231224,0.8711656441717791,0.797752808988764,0.8328445747800587,0.9097198755315254,2158
